,Country Name,Country Code,gdp_g,ir,gdp_gpc,gcf,igs,alpha
0,Afghanistan,AFG,-4.25531950689702,7.84426473740044,-6.79859413778901,35.7142857142857,21.31652482308875,0.18570130143217406
1,Angola,AGO,0.0416214618374653,0.689055807312738,-3.27491256774344,0.0,28.935914284944552,0.2749346318158818
2,Albania,ALB,9.83654897187228,12.6863036456149,6.9236172850875,32.8770715994479,21.4727330022325,0.2954728151832104
3,Andorra,AND,4.82703425038704,12.6863036456149,0.797489468593852,27.00594261489415,23.15541855899205,0.26391399423664613
4,United Arab Emirates,ARE,12.3378912822599,3.34203359055792,5.55695437762671,19.7394089555735,50.62195588319455,0.291369197129034
5,Argentina,ARG,-7.15694965597953,26.4221267235586,-8.52791141060089,15.5146982752804,6.57938879331971,0.22601323809145568
6,Armenia,ARM,-4.25531950689702,3.34203359055792,-6.79859413778901,35.7142857142857,50.62195588319455,0.1494383676016895
7,Antigua and Barbuda,ATG,5.25222622770789,6.92390503711238,5.82450088788116,25.7637333451277,41.0433705080545,0.2613809379129902
8,Australia,AUS,3.87864970607134,7.53390256152688,2.13491048629481,29.610209761727,16.9476613943385,0.266145823328954
9,Austria,AUT,3.88707481782052,2.56834829029372,3.42010178477146,26.4705304602787,35.5231562390335,0.25312739844049076
10,Azerbaijan,AZE,-4.25531950689702,3.34203359055792,-6.79859413778901,35.7142857142857,50.62195588319455,0.1494383676016895
11,Burundi,BDI,1.34950223651784,11.6615998479958,-0.571550671620642,16.4628867904245,22.9435654028731,0.26508059579181076
12,Belgium,BEL,3.46916698368338,3.10705065111094,3.09399912598727,23.5258653626574,61.3701837443597,0.22428154479241216
13,Benin,BEN,-2.85416049622336,2.501234741560078,-5.742503605333,11.8171441375108,24.8049383776371,0.23686954700541843
14,Burkina Faso,BFA,2.15026727173506,-0.481798715203334,-0.508371835133687,20.4100171651494,23.6458973519231,0.2595565084572048
15,Bangladesh,BGD,2.83658212907925,6.04547975596244,0.674980728998051,16.1209144348967,12.7850303011279,0.2882642217068543
16,Bulgaria,BGR,-3.28988206824971,6.38888888888878,-2.15169070515859,33.1090572826131,48.1583761167482,0.1762660832946028
17,Bahrain,BHR,0.364007138161824,1.48589732182571,-3.04839598332819,21.6672283906624,77.0672801748822,0.17593730744198693
18,Bosnia and Herzegovina,BIH,4.82703425038704,12.6863036456149,4.6628151972627,27.00594261489415,23.15541855899205,0.27583415418888974
19,Belarus,BLR,-1.276728623381423,17.149151997396,-0.15613380300603508,30.44341753019545,45.1388888888889,0.2007698831766302
20,Belize,BLZ,13.0092211299346,2.12765957446807,10.5567196075535,29.5703941681133,57.482163540682,0.28216434932520845
21,Bolivia,BOL,3.7901309635414,15.1734681125732,1.62345636853215,11.5875574376305,23.156469428327,0.29196597600378627
22,Brazil,BRA,3.16000000000032,1430.7237251472,1.24361157243902,26.9027870382664,5.46126797532435,0.3632634434108533
23,Barbados,BRB,3.60000000000001,6.19011406844121,3.60120111764229,16.2651796778191,41.0433705080545,0.26565594875607085
24,Bhutan,BTN,7.35556731782358,8.77983718898032,4.36536375742018,33.8043371035632,39.5774214984735,0.25242507877061604
25,Botswana,BWA,13.0594058870785,11.5750147473285,9.5504647349501,36.1081829228058,46.1362667074378,0.2810907052821536
26,Central African Republic,CAF,1.97727043451945,0.689055807312738,-0.526163893195815,11.7558442614205,26.4631612106678,0.27213937932481413
27,Canada,CAN,2.33732974637616,4.98362189985958,0.51757380097321,23.6100294976466,25.0202880078144,0.2559665288756223
28,Switzerland,CHE,4.33079421124518,3.15526979710908,3.49064316201341,33.3168243230154,43.6120465213356,0.23210920882488545
29,Chile,CHL,9.92338289722963,17.0279367308961,8.16316784441375,25.8007468539223,29.2729009481237,0.3040781805304861
30,China,CHN,4.20633435547803,18.2456383621648,2.62085917492089,37.2086867816609,13.2613658201336,0.2594997255586451
31,Cameroon,CMR,-1.81912051186825,-1.66552589550544,-4.73774083909979,17.0960125608687,17.7694471467337,0.24266788751124693
32,Colombia,COL,3.41409610966596,25.8675480831988,1.25534326900443,19.9757541589656,13.8190584368665,0.28500569298072687
33,Comoros,COM,-3.18025651617585,12.0539809491311,-5.83713219893008,18.0423823249153,26.9211350095931,0.22103146990440847
34,Cabo Verde,CPV,5.69794936659591,4.55516014234884,4.2468344230372,13.635120100554,62.2123474108422,0.25585864135727643
35,Costa Rica,CRI,5.66597554871299,16.509808768739,3.00493719762211,26.5859956089387,38.7318045778141,0.2563097436995451
36,Cuba,CUB,0.680083233154079,6.92390503711238,-0.293073336526533,26.326710025583,44.7646632884344,0.21678210239378315
37,Cyprus,CYP,7.94742553168615,3.7654804828339,6.41951156870091,30.8919291059449,59.8741597432543,0.2417809129467558
38,Czechia,CZE,-1.276728623381423,17.149151997396,-0.15613380300603508,30.44341753019545,45.1388888888889,0.2007698831766302
39,Germany,DEU,3.89655169214447,2.78056955569751,3.09617999996819,24.2490926885839,22.9162981574802,0.2719781424457588
40,Djibouti,DJI,3.80766467032947,12.0539809491311,1.09838952005666,18.0423823249153,24.932350206233103,0.2755366034249233
41,Dominica,DMA,-0.191136505618871,6.21852149777859,0.410783328530883,25.7637333451277,41.0433705080545,0.2207503065440524
42,Denmark,DNK,0.645187431976638,4.77272342435522,0.584830839011062,21.3232357643915,31.6249149834267,0.24505712125095963
43,Dominican Republic,DOM,4.40053881491087,40.6579161175005,2.21941546302655,25.7637333451277,38.8010048828816,0.2512622471422906
44,Algeria,DZA,4.40000216060025,9.30436125843166,1.6882789835681,30.0732338591257,28.5140563708175,0.2520548320312717
